Barcode,Title,Release Year,IMDb Url,Edition,Format,Nr Discs,Notes
085392118823,3000 Miles to Graceland,2001,https://www.imdb.com/title/tt0233142/?ref_=ref_ext_clz,,DVD,1,120 collection New
025192788321,The 40-Year-Old Virgin,2005,https://www.imdb.com/title/tt0405422/?ref_=ref_ext_clz,,DVD,1,120 collection New
043396060500,50 First Dates,2004,https://www.imdb.com/title/tt0343660/?ref_=ref_ext_clz,Special Edition,DVD,1,120 collection New
7.9602E+11,5ive Girls,2006,https://www.imdb.com/title/tt0494199/?ref_=ref_ext_clz,,DVD,1,120 collection New
025192330520,8 Mile,2002,https://www.imdb.com/title/tt0298203/?ref_=ref_ext_clz,Edited Supplement,DVD,1,120 collection New
025195054577,9,2009,https://www.imdb.com/title/tt0472033/?ref_=ref_ext_clz,Widescreen Edition,DVD,1,120 collection New
024543701484,The A-Team,2010,https://www.imdb.com/title/tt0429493/?ref_=ref_ext_clz,,DVD,1,120 collection New
043396076013,Adaptation.,2002,https://www.imdb.com/title/tt0268126/?ref_=ref_ext_clz,Superbit,DVD,1,120 collection New
,Adventures of Gallant Bess,1948,https://www.imdb.com/title/tt0040078/?ref_=ref_ext_clz,,DVD,1,120 collection New
043396501492,The Adventures of Milo and Otis,1986,https://www.imdb.com/title/tt0097050/?ref_=ref_ext_clz,,DVD,1,120 collection New
043396501492,The Adventures of Milo and Otis,1986,https://www.imdb.com/title/tt0097050/?ref_=ref_ext_clz,,DVD,1,120 collection New
024543391937,Alien: Covenant,2017,https://www.imdb.com/title/tt2316204/?ref_=ref_ext_clz,,DVD,1,120 collection New
,Alien: Resurrection,1997,https://www.imdb.com/title/tt0118583/?ref_=ref_ext_clz,,DVD,1,120 collection New
,Aliens,1986,https://www.imdb.com/title/tt0090605/?ref_=ref_ext_clz,,DVD,1,120 collection New
024543660101,Alvin and the Chipmunks: The Squeakquel,2009,https://www.imdb.com/title/tt1231580/?ref_=ref_ext_clz,,DVD,1,120 collection New
043396409415,The Amazing Spider-Man,2012,https://www.imdb.com/title/tt0948470/?ref_=ref_ext_clz,,DVD,1,120 collection New
7.94043E+11,American History X,1998,https://www.imdb.com/title/tt0120586/?ref_=ref_ext_clz,Verz. kopie,Blu-ray,1,OG Collection
8.83929E+11,American Sniper,2014,https://www.imdb.com/title/tt2179136/?ref_=ref_ext_clz,,DVD,1,120 collection New
